codigo;nome;POSTO DE SA�DE;CENTRO DE SA�DE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;UNIDADE M�VEL FLUVIAL;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE M�VEL TERRESTRE;UNIDADE M�VEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SA�DE;COOPERATIVA OU EMPRESA DE CESS�O DE TRABALHADORES NA SA�DE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;LABORATORIO CENTRAL DE SA�DE PUBLICA LACEN;CENTRAL DE GEST�O EM SA�DE;CENTRO DE ATEN��O HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATEN��O PSICOSSOCIAL;CENTRO DE APOIO A SA�DE DA FAMILIA;UNIDADE DE ATEN��O A SA�DE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SA�DE;TELESSA�DE;CENTRAL DE REGULA��O MEDICA DAS URGENCIAS;SERVICO DE ATEN��O DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATEN��O EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SA�DE PUBLICA;CENTRAL DE REGULA��O DO ACESSO;"CENTRAL DE NOTIFICA��O,CAPTA��O E DISTRIB DE ORG�OS ESTADUAL";POLO DE PREVEN��O DE DOENCAS E AGRAVOS E PROMO��O DA SA�DE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZA��O;Total
270135;CAMPESTRE;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
270140;CAMPO ALEGRE;0;16;0;1;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;31
270150;CAMPO GRANDE;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
270160;CANAPI;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;13
270170;CAPELA;0;8;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;18
270180;CARNEIROS;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7
270190;CHA PRETA;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
270200;COITE DO NOIA;5;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;17
270210;COLONIA LEOPOLDINA;0;8;0;0;0;1;0;0;1;0;3;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;20
270220;COQUEIRO SECO;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
270230;CORURIPE;0;18;5;1;2;0;0;0;3;0;0;5;0;1;1;0;0;0;0;0;1;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;43
270235;CRAIBAS;2;11;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;19
270240;DELMIRO GOUVEIA;13;16;6;1;0;0;0;0;6;0;9;3;0;2;1;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;62
270250;DOIS RIACHOS;0;5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9
270255;ESTRELA DE ALAGOAS;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15
270260;FEIRA GRANDE;2;9;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;19
270270;FELIZ DESERTO;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
270280;FLEXEIRAS;0;5;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10
270290;GIRAU DO PONCIANO;0;15;0;0;0;1;0;0;1;0;1;3;0;1;1;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;28
270300;IBATEGUARA;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;11
270310;IGACI;0;12;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;22
270320;IGREJA NOVA;4;10;1;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22
270330;INHAPI;0;5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;13
270340;JACARE DOS HOMENS;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;11
270350;JACUIPE;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
270360;JAPARATINGA;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7
270370;JARAMATAIA;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7
270375;JEQUIA DA PRAIA;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;12
270380;JOAQUIM GOMES;7;1;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
270390;JUNDIA;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
270400;JUNQUEIRO;14;10;0;1;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;34
270410;LAGOA DA CANOA;10;6;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;23
270420;LIMOEIRO DE ANADIA;8;13;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
270430;MACEIO;0;83;23;18;23;0;2;0;936;0;337;128;2;33;21;1;22;0;4;0;2;1;7;0;1;7;3;1;1;15;0;0;1;4;2;0;3;6;1.687
270440;MAJOR ISIDORO;0;7;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
270450;MARAGOGI;10;0;1;0;0;0;0;0;2;0;4;0;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;25
270460;MARAVILHA;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12
270470;MARECHAL DEODORO;2;17;1;0;0;0;0;0;3;0;5;4;0;1;1;1;0;1;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;43
